epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1676.17,1.11968,0.74685,1.14964,0.89537,0.94626,0.97843,0.7321,0.99644,0.58679,1.11037,0.000941964,0.000941964,0.000941964
148,1687.42,1.10757,0.72794,1.14353,0.89429,0.95781,0.96728,0.69821,1.03678,0.5863,1.12977,0.000940806,0.000940806,0.000940806
149,1698.81,1.10037,0.73009,1.14473,0.9098,0.93565,0.98072,0.72253,0.98675,0.57259,1.11124,0.000939649,0.000939649,0.000939649
150,1709.97,1.08996,0.72272,1.13113,0.92738,0.97105,0.98075,0.72967,0.97187,0.5459,1.0988,0.000938491,0.000938491,0.000938491
151,1721.08,1.09467,0.71714,1.14191,0.91303,0.96092,0.97805,0.72106,0.98349,0.56195,1.10402,0.000937333,0.000937333,0.000937333
152,1732.19,1.09098,0.70477,1.13963,0.92869,0.9762,0.9859,0.7556,0.92148,0.50719,1.07011,0.000936175,0.000936175,0.000936175
153,1743.34,1.0929,0.70231,1.13188,0.95734,0.9685,0.98702,0.75119,0.92598,0.49705,1.06907,0.000935018,0.000935018,0.000935018
154,1754.46,1.07997,0.69643,1.11711,0.9482,0.97753,0.98339,0.75406,0.95007,0.51191,1.08317,0.00093386,0.00093386,0.00093386
155,1765.58,1.08762,0.71017,1.12835,0.94564,0.96647,0.98503,0.75668,0.92982,0.50709,1.07431,0.000932702,0.000932702,0.000932702
156,1776.68,1.07675,0.68651,1.12221,0.95122,0.96111,0.98578,0.74329,0.95634,0.50854,1.08671,0.000931544,0.000931544,0.000931544
157,1787.73,1.09532,0.69276,1.11989,0.91408,0.96261,0.97436,0.71925,0.99832,0.54594,1.10442,0.000930386,0.000930386,0.000930386
158,1798.74,1.04483,0.69846,1.10938,0.94501,0.9529,0.98577,0.74137,0.93989,0.52366,1.07896,0.000929229,0.000929229,0.000929229
159,1809.77,1.01348,0.66679,1.10559,0.94664,0.9814,0.98855,0.76003,0.90433,0.50208,1.06323,0.000928071,0.000928071,0.000928071
160,1820.81,1.08677,0.71209,1.14542,0.91565,0.94973,0.98826,0.76056,0.91734,0.53276,1.07107,0.000926913,0.000926913,0.000926913
161,1831.94,1.08075,0.73059,1.1164,0.93595,0.97442,0.98585,0.75188,0.95014,0.52478,1.08389,0.000925755,0.000925755,0.000925755
162,1842.98,1.10388,0.71185,1.13221,0.95371,0.97407,0.98613,0.7698,0.87727,0.49793,1.05204,0.000924598,0.000924598,0.000924598
163,1854.09,1.08324,0.71554,1.12183,0.94952,0.94643,0.98778,0.7625,0.89339,0.50525,1.05936,0.00092344,0.00092344,0.00092344
164,1865.13,1.04747,0.68162,1.1107,0.95702,0.94561,0.98444,0.75045,0.95338,0.53284,1.07919,0.000922282,0.000922282,0.000922282
165,1876.16,1.05995,0.68915,1.12235,0.9725,0.97175,0.98994,0.77316,0.88515,0.49882,1.05583,0.000921124,0.000921124,0.000921124
166,1887.31,1.05294,0.6931,1.10191,0.91592,0.94912,0.97842,0.72068,1.00785,0.5803,1.11152,0.000919966,0.000919966,0.000919966
167,1898.38,1.06096,0.65966,1.10618,0.95949,0.95505,0.98941,0.77204,0.86275,0.49773,1.04509,0.000918809,0.000918809,0.000918809
168,1909.45,1.05355,0.6847,1.11408,0.93695,0.98285,0.98913,0.78213,0.85026,0.47598,1.03957,0.000917651,0.000917651,0.000917651
169,1920.61,1.02615,0.67188,1.08063,0.96469,0.96735,0.98799,0.77682,0.86054,0.48107,1.04241,0.000916493,0.000916493,0.000916493
170,1931.71,1.0237,0.67611,1.10388,0.91843,0.93013,0.98042,0.74411,0.9525,0.54045,1.0793,0.000915335,0.000915335,0.000915335
171,1942.87,1.04581,0.6758,1.10315,0.94516,0.95505,0.98441,0.76471,0.88369,0.49738,1.04935,0.000914178,0.000914178,0.000914178
172,1954.02,1.00207,0.65921,1.09005,0.95409,0.96937,0.988,0.773,0.8579,0.47813,1.02869,0.00091302,0.00091302,0.00091302
